subject,predicate,object
Akitu festival,honored,Marduk
Burna-Buriash III,instanceOf,King of Babylon
Ishme-Dagan I,son,Mut-Ashkur
Early Dynastic Period of Sumer,location,Sumer
Marduk worship,instanceOf,Religious practice
Gates of Babylon,builtBy,King Nebuchadnezzar II
Babylonian cosmology,describes,structure of the universe according to Babylonians
First Dynasty of Babylon,religion,Mesopotamian polytheism
Ishme-Dagan I,knownFor,Military campaigns in Mesopotamia
Babylonian Kassite period,timeFrame,c. 1595–1155 BC
Babylonian dialect,spokenIn,Babylon
Yamhad,locatedIn,ancient Syria
Golden Age of Islam,culturalImpact,translation movement
Babylonian Kassite period,religion,Mesopotamian polytheism
Ziggurat of Uruk,associatedWith,Ancient city of Babylon region
Kalhu,UNESCOWorldHeritageSite,no
Palaces of Nebuchadnezzar II,constructionPeriod,605–562 BC
Gutium,capital,Gutium city
Gates of Babylon,constructedDuring,Neo-Babylonian Empire
Kadašman-Enlil II,notableEvent,Maintained Babylonian independence
Gutian dynasty of Sumer,knownFor,disruption of Akkadian Empire
High Priestess of Ur,notableHolder,Enheduanna
Ziggurat of Borsippa,alsoKnownAs,Etemenanki's sister ziggurat
Amorite tribes,playedRoleIn,founding of Babylon
Nanna (Sin),associatedWith,wisdom
Victory Stele of Naram-Sin,createdBy,Naram-Sin
Nabû-šuma-iškun,reignPeriod,circa 748–734 BC
Kadašman-Enlil I,notableFor,Military campaigns against Assyria
King Ipiq-Adad II,capital,Babylon
Amorite dynasty,endedBy,Hittite sack of Babylon in 1595 BC
Hanging Gardens of Babylon,possibleLocation,Babylon
Regent of Babylon,associatedWith,Babylon
Ea,domain,knowledge
Reign of Hammurabi,location,Babylon
Hanging Gardens of Babylon,historicalEvidence,No definitive archaeological evidence
Mushussu,features,Eagle hind legs
Sin-shar-ishkun,capital,Nineveh
Hurrian kingdom of Mitanni,knownFor,horse training and chariotry
Palace of Nebuchadnezzar II,notableFeature,Lavish decorations
Utu-hengal,title,King of Uruk
Ashur-uballit I,role,Founder of Middle Assyrian Empire
Nazi-Maruttaš,predecessor,Kudur-Enlil
Siege of Nineveh,occurredIn,ancient Assyria
Zimri-Lim,reignPeriod,c. 1775–1761 BCE
Conquest by Cyrus the Great,significance,End of Neo-Babylonian Empire
Bau,cultCenter,Lagash
Assyrian inscriptions,language,Akkadian
Itti-Marduk-balatu,reignPeriod,c. 1135–1128 BC
Babylonian city-state period,notableRuler,Sumu-la-El
Babylonian captivity,endDate,538 BCE
First dynasty of Babylon,capital,Babylon
Nabû-nāṣir,reignStart,747 BC
Victory Stele of Naram-Sin,depicts,Naram-Sin's victory over the Lullubi
Babylon region,instanceOf,Geographical region
Shalmaneser V,deathDate,722 BC
Borsippa,famousFor,ziggurat structure
Prince of Babylon,associatedWith,Babylonian royalty
City of Ur,capitalOf,Sumerian city-state
Ninurta-nadin-shumi,reignPeriod,1127–1122 BC
Kassite Dynasty of Babylon,instanceOf,Dynasty
Temple of Shamash,importance,religious center in Babylon
Dynasty of E,ruled,Babylon
Daniel in the lions' den,timePeriod,Babylonian captivity
Sin (moon god),fatherOf,Utu (sun god)
Nebuchadnezzar II,militaryCampaigns,Conquest of Jerusalem
Palaces of Nebuchadnezzar II,architecturalStyle,Neo-Babylonian architecture
Akitu,associatedWith,spring equinox
Royal Cemetery at Ur,associatedWith,Sumerian civilization
Yarim-Lim I,reignPeriod,c. 1780 BC – c. 1764 BC
Nergal,role,god of death
Shalmaneser V,conquered,Kingdom of Israel
Kassite period of Babylon,capital city,Babylon
Royal Cemetery at Ur,discoveryDate,1920s
Babylonian and Median coalition,included,Medes
Dynasty of Isin,instanceOf,dynasty
Ea,associatedWith,magic
Prince of Babylon,historicalPeriod,Ancient Mesopotamia
Ancient Babylonian period,instanceOf,Historical period
Babylonian officials,role,Law enforcement
High Priestess of Ur,role,Religious leader
Babylonian texts,notableExample,Code of Hammurabi
Gutian dynasty,ruled,Sumer
Babylonian forces,associatedWith,Babylon
Ennigaldi-Nanna,timePeriod,6th century BCE
First dynasty of Babylon,notableRuler,Samsu-iluna
Lugalzagesi,conquered,Babylon
Modern-day Mosul,historicallyConnectedTo,Ancient Assyrian Empire
Babylonian law,punishmentsIncluded,corporal punishment
Kassite Dynasty of Babylon,origin,Kassites
Babylon region,associatedWith,Babylonian Empire
Fall of Babylon to Persian Empire,method,siege and capture
Babylonian officials,role,Judicial duties
Temple of Shara,dedicatedTo,Shara
Babylonian exile,ledTo,Jewish diaspora
King Samsu-iluna,father,Hammurabi
Babylon,wasConqueredBy,Cyrus the Great
Destruction of Solomon's Temple,destroyedBy,Babylonian army
Assyria,religion,Assyrian religion
Shutruk-Nahhunte,reignPeriod,c. 1185–1155 BC
Kudurru boundary stones,function,legal document
Nabu-shuma-ukin I,successor,Nabu-apla-iddina
Babylonian gods,instanceOf,deities worshiped in ancient Babylon
Babylonian culture,influenced,later Mesopotamian cultures
Urukagina,instanceOf,Ancient Sumerian ruler
Enheduanna,occupation,High Priestess of the Moon God Nanna
Gutium,language,Gutian language (poorly attested)
Tell Asmar,periodOfOccupation,Early Dynastic period
Gilgamesh,describedAs,Two-thirds god and one-third human
Uruk period,instanceOf,archaeological period
Jemdet Nasr period,timeframe,circa 3100–2900 BC
Epic of Gilgamesh,associatedRegion,Mesopotamia
Babylonian city-state period,timeFrame,circa 1894–1595 BCE
Akitu,purpose,renewal of kingship
Kutir-Nahhunte,instanceOf,King of Babylon
Babylonian-Persian wars,instanceOf,historical conflict
Sexagesimal number system,base,60
Uruk,instanceOf,Ancient Mesopotamian city
Shalmaneser V,associatedWith,Siege of Samaria
Enki,worshipedIn,ancient Babylon
Kadashman-Enlil I,notableFor,Treaty with Assyrian king Ashur-uballit I
Sasanian Empire,existedDuring,224 AD to 651 AD
Lugal,usedIn,Ancient Sumerian city-states
Ram in a Thicket,currentLocation,University of Pennsylvania Museum of Archaeology and Anthropology
Borsippa,near,Babylon
Gate of All Nations,constructedDuring,Achaemenid Empire period
Adad-nirari I,knownFor,Military campaigns expanding Assyrian empire
Gutians,instanceOf,ancient people
Cedar Forest,associatedWith,Gilgamesh and Enkidu
Utu,associatedWith,law and justice
Battle of Opis (539 BC),involvedEntity,Babylonian Empire
Second Temple,associatedWith,Herod the Great
Ea,domain,water
Gutium region,neighboringRegion,Babylonian territory
Kassite language and culture,instanceOf,culture
Early Dynastic Period of Sumer,notableCity,Lagash
Victory Stele of Naram-Sin,significance,one of the earliest known depictions of a ruler as a god
Ancient Babylonian High Priestess,associatedDeity,Ishtar
Babylonian priests,role,Conducted religious rituals
Ashur-uballit I,relationToBabylon,Corresponded with Babylonian kings
Parthian Empire,locatedIn,Ancient Mesopotamia
First Dynasty of Babylon,timePeriod,c. 1894 BC to 1595 BC
Library of Ashurbanipal,containsTextsOn,astronomy
Ashur-Dan III,capital,Assur
Fall of Babylon to Persian Empire,involvedEmpire,Babylonian Empire
Ram in a Thicket,material,shell
Lamassu statues,foundAt,gates of Babylon
Fall of Neo-Babylonian Empire,historicalSignificance,Marked the beginning of Persian rule over Babylon
Šamaš-mudammiq,successor,Abi-Eshuh
Law code of Lipit-Ishtar,contains,laws on marriage
Seleucid Empire,capital,Antioch
Babylon,was conquered by,Cyrus the Great
Ninurta,parent,Enlil
Chaldean Empire,notableRuler,Nebuchadnezzar II
Kurigalzu I,notableFor,Building projects in Babylon
Gutian people,instanceOf,ancient people
Nebuchadnezzar II,knownFor,Military conquests
Utu,mentionedIn,Epic of Gilgamesh
Fall of Neo-Babylonian Empire,keyFigure,Cyrus the Great
Ishme-Dagan I,capital,Assur
Kadašman-Ḫarbe I,successor,Kurigalzu I
Tell Harmal,contains,ancient cuneiform tablets
King Samsu-iluna,reignStart,1750 BC
Shibtu,role,Queen consort of Mari
Queen of Mari,instanceOf,Historical Figure
Reign of Nabonidus,capital,Babylon
Jemdet Nasr,instanceOf,ancient city
Darius the Great,restored,Babylonian temples
Neo-Babylonian architecture,timePeriod,626–539 BCE
Babylonian priests,role,Maintained temples
Tigris River,importance,Provided water for irrigation in Babylon
Ancient Babylon,notablePerson,Hammurabi
Ninhursag,symbol,Motherhood and fertility
Kadašman-Ḫarbe I,predecessor,Karaindaš
Dynasty of Isin,succeededBy,Kassite dynasty
Babylonian Kassite period,languageUsed,Kassite language
Sexagesimal number system,originatedIn,Ancient Babylon
National Museum of Iraq,sufferedDamageDuring,Iraq War
Ashur-nirari V,capital,Assur
Babylonian administration,included,scribes
Shamash,child,Marduk
Fall of Babylon,conqueredBy,Cyrus the Great
Temple of Tishpak,instanceOf,ancient temple
King Ipiq-Adad II,reignPeriod,c. 1932–1921 BC
Sin-shar-ishkun,reignPeriod,c. 627–612 BC
Borsippa,locatedIn,Mesopotamia
Achaemenid Empire control over Babylon,startDate,539 BCE
Babylonian culture,originatedIn,Babylon
Mushussu,associatedWith,Ancient city of Babylon
First dynasty of Babylon,region,Mesopotamia
Old Babylonian dynasty,known for,Code of Hammurabi
Robert Koldewey,discovered,Hanging Gardens of Babylon (possible location)
Kassite language and culture,knownFor,long-lasting dynasty in Babylon
Hanging Gardens of Babylon,purpose,to please Queen Amytis
Sumu-la-El,reignPeriod,c. 1880 BC – c. 1845 BC
Declaration of Cyrus the Great's conquest of Babylon,instanceOf,ancient inscription
Ezida,constructedDuring,Neo-Babylonian period
Nabu-apla-iddina,notableFor,Revival of Babylonian culture and religion
Stele of Hammurabi's Code,material,black diorite
Ancient city of Ur,wasCapitalOf,Sumerian city-state
Marduk,became,Patron deity of Babylon
The Nabonidus Chronicle,writtenIn,Akkadian language
King Artatama I,diplomaticRelations,Had diplomatic correspondence with Babylonian rulers
Death of Tammuz,instanceOf,Ancient Mesopotamian mythological event
Babylonian territory,includedCities,Nippur
Ninlil,associatedWith,Babylonian mythology
King Shamshi-Adad V,father,King Shalmaneser III
Astarte,symbol,star
End of Neo-Babylonian Empire,conqueredBy,Achaemenid Empire
Carchemish,knownFor,strategic military location
Ululu,associatedWith,New Year celebrations
Akitu,heldAt,Esagila temple in Babylon
Assyria,knownFor,extensive library of Ashurbanipal
Nabonidus,title,Last king of the Neo-Babylonian Empire
Yamhad,instanceOf,ancient city-state
Neo-Babylonian,historicalSignificance,last great Mesopotamian empire before Persian conquest
Nanna,temple,Ziggurat of Ur
Royal Tombs of Ur,contains,artifacts
Akitu (New Year Festival),purpose,Renewal of kingship
Anu,instanceOf,Deity
Median Empire,governmentType,monarchy
First Dynasty of Babylon,famousFor,Code of Hammurabi
Black Obelisk,date,circa 825 BCE
Ea (Enki),alsoKnownAs,Enki
Old Babylonian dynasty,notable ruler,Samsu-iluna
Nabû-kudurri-uṣur II,capitalCity,Babylon
Sumerians,inhabited,Mesopotamia
Ishqi-Mari,knownFor,Mari letters
Battle of Megiddo,date,circa 1457 BC
Fall of Babylon to Persian Empire,resultedIn,Persian control of Babylon
Daniel in the lions' den,mainCharacter,Daniel
Battle of Carchemish (605 BC),combatants,Babylonian Empire
Esagila,notableFeature,large ziggurat
King Samsu-iluna,dynasty,First Babylonian Dynasty
Etana,legendIncludes,Flight to Heaven
Ashur-Dan III,notableEvent,Plague during reign
Kadašman-Enlil I,instanceOf,Kassite King
Nabû-mukin-apli,reignPeriod,974–939 BC
God Marduk,role,Patron deity of Babylon
Ennigaldi-Nanna,associatedWith,Ancient city of Babylon
Tammuz festival,duration,several days
Ancient Babylonian High Priestess,role,Religious leader
Assyria,knownFor,extensive road system
Neo-Babylonian Empire,endedInYear,539 BCE
Enlil-kudurri-usur,capital,Babylon
Anu,fatherOf,Enlil
Invasion of Babylon,instanceOf,Historical event
Nabû-kudurri-uṣur II,reignPeriod,circa 605–562 BC
Marduk-bēl-zēri,dynasty,2nd Dynasty of Isin
Nazi-Maruttaš,successor,Kadashman-Turgu
Arik-den-ili,notableFor,Military campaigns against Assyria and Elam
Etana,associatedWith,City of Babylon
Sumerian Period,preceded,Akkadian Empire
Babylonian priests,instanceOf,Ancient Babylonian religious figures
Ibbi-Sin,language,Sumerian
Nazi-Maruttaš,instanceOf,King of Babylon
Mari,ruledBy,Zimri-Lim
King of Mari,ruledOver,Mari
Shulgi,father,Ur-Nammu
Enheduanna,instanceOf,Ancient Babylonian High Priestess
Nitocris,mentionedIn,Herodotus' Histories
Gutians,timePeriod,circa 22nd century BCE
Seleucia on the Tigris,foundedIn,circa 305 BC
Enheduanna,religion,Ancient Mesopotamian religion
Epic of Gilgamesh,preservedIn,Babylonian copies
Gutian dynasty of Sumer,instanceOf,dynasty
Behistun Inscription,purpose,record Darius I's rise to power
Gates of Babylon,function,City entrance
Daughter of Cyaxares,associatedWith,Babylon
Kassite Dynasty of Babylon,notableKing,Burna-Buriash II
Adad-šuma-uṣur,notableEvent,Restored Babylonian control after Elamite invasions
Achaemenid period,ruler,Cyrus the Great
National Museum of Iraq,contains,Akkadian artifacts
Sinsharishkun,death,612 BC
Black Obelisk,material,black limestone
Mattaniah,predecessor,Jehoiachin
Babylonian administration,usedIn,Ancient Babylon
Gutian people,historicalPeriod,late 3rd millennium BCE
Nabonidus,instanceOf,Ruler
King of Kings,instanceOf,Title
Zimri-Lim,allyOf,Yamhad
Nanna (Sin),associatedWith,fertility
Gutian language,associatedWith,Gutian dynasty of Sumer
Royal Tombs of Ur,dateBackTo,Early Dynastic period
Babylonian New Year festival,honoredDeity,Marduk
Queen of Heaven,instanceOf,title
Ziusudra,instanceOf,Ancient Mesopotamian King
Babylonian-Persian wars,key figure,Nabonidus
Excavation of Babylon,interruptedBy,World War I
Standard of Ur,currentLocation,British Museum
Shamash,worshipPeriod,Ancient Mesopotamia
Naram-Sin,knownFor,Wearing horned helmet
Harran,historicalPeriod,Iron Age
Enki,worshipedIn,Sumer
Shulgi,knownFor,Administrative reforms
Amorite tribes,culturalInfluence,Babylonian culture
Correspondence with Assyrian king Tukulti-Ninurta I,timePeriod,13th century BCE
Utu,mythology,Bringer of light and truth
Mitanni kingdom,rival,Egyptian Empire
Palaces of Nebuchadnezzar II,locatedIn,Babylon
King Shamshi-Adad V,reignPeriod,824–811 BC
King Jehoiachin,wasImprisonedIn,Babylon
End of Assyrian Empire,occurredIn,Ancient Mesopotamia
Babylonian army,usedWeapon,chariots
Early Assyrian period,timeFrame,circa 2025–1365 BCE
King Samsu-iluna,notableEvent,Struggled to maintain Babylonian empire after Hammurabi's death
Hammurabi,reignPeriod,1792–1750 BC
Gutian dynasty,instanceOf,dynasty
Battle of Carchemish (605 BC),combatants,Egyptian forces
King of Kish,instanceOf,Title
Sirrush,symbolizes,power and protection
Kassite language and culture,languageFamily,unknown or poorly attested
as-Senkereh,excavatedBy,Paul-Émile Botta
Temple of Shara,locatedIn,Ancient city of Babylon
Center of Enlil's cult,significance,Religious center of ancient Mesopotamia
Babylonian cosmology,includes,underworld beneath the earth
Babylon,notableFeature,massive city walls
Tadukhipa,role,Queen of Egypt
Siege of Jerusalem (587 BC),resultedIn,Destruction of Jerusalem
Kashtiliash IV,historicalPeriod,Late Bronze Age
Zedekiah,fate,Blinded and taken to Babylon
Kassite dynasty,notableRuler,Agum II
Ensi of Lagash,associatedWith,Sumerian city-states
Gutians,mentionedIn,Sumerian King List
Cambyses I,predecessor,Teispes
Kassite language,usedIn,ancient Babylon
Ancient Babylonian road,purpose,trade and transportation
End of Assyrian Empire,resultedIn,Rise of Neo-Babylonian Empire
Neo-Babylonian architecture,instanceOf,architecture style
High Priestess of Ur,timePeriod,Sumerian civilization
Ululu,occurredDuring,Akitu festival
Gutium,conquered,Sumer
Cedar Forest,locatedIn,Ancient Mesopotamian mythology
Moon God Nanna,role,Moon god
Royal Tombs of Ur,discoveredIn,1920s
Babylon,destroyedBy,Hittites
God Marduk,role,God of water
Yamhad,knownFor,powerful kingdom in ancient Near East
End of Assyrian Empire,year,612 BCE
Temple of Nabû in Babylon,associatedWith,Babylonian religion
Temple of Tishpak,dedicatedTo,Tishpak
Babylonian forces,instanceOf,military forces
Babil,UNESCOWorldHeritageSite,no
Enheduanna,notableWork,Sumerian Temple Hymns
Babylon,notableStructure,Etemenanki ziggurat
Sexagesimal number system,influenced,Modern time measurement
Ishme-Dagan I,instanceOf,King of Assyria
National Museum of Iraq,establishedIn,1926
Seleucus I Nicator,reigned,305 BC to 281 BC
God Marduk,defeated,Tiamat
Parthian Empire,timePeriod,247 BC to 224 AD
Neo-Babylonian architecture,location,Babylon
Queen of Mari,role,Queen
Babylonian administration,included,governors
Temple of Shamash,features,altars and statues
Shulgi,capital,Ur
Itti-Marduk-balatu,dynasty,2nd Dynasty of Isin
King Gilgamesh,instanceOf,Legendary King of Uruk
Tishpak,relatedTo,Ninazu
Babil,economicActivity,trade
Gutian people,mentionedIn,Sumerian King List
Naram-Sin's victory over the Lullubi,instanceOf,historical event
Babil,modernLocation,"near Hillah, Iraq"
Babylon,majorDeity,Marduk
Nazi-Maruttaš,capital,Babylon
Mari,discoveredBy,André Parrot
Sumerian Flood Myth,relatedTo,Ancient Mesopotamia
Excavations at Babylon,period,1899-1917
Ancient Babylon,destroyedBy,Persian Empire
Cambyses I,successor,Cyrus the Great
Gates of Babylon,purpose,Defense and ceremonial entrance
Nabû-mukin-zēri,title,King of Babylon
Temple of Shamash,function,worship
Babylonian officials,included,Tax collectors
Astarte,role,goddess of war
King Shalmaneser III,instanceOf,Assyrian king
Hurrian kingdom of Mitanni,knownFor,Hurrian culture
Shulgi,contemporaryOf,Babylonian city-state period
Kassite Dynasty of Babylon,capital,Babylon
Epic of Gilgamesh (Babylonian version),influenced,later literature
Kassite Dynasty of Babylon,timePeriod,c. 1595–1155 BC
Utu-hengal,successor,Ur-Nammu
Lugal,instanceOf,King
Kish,significance,one of the first city-states in Mesopotamia
Nabû-kudurrī-uṣur I,dynasty,2nd Dynasty of Isin
Ancient Babylon,notablePerson,Nebuchadnezzar II
Babylonian and Median coalition,included,Babylonians
Early Dynastic Period of Sumer,notableCity,Uruk
Uruk period,precededBy,Ubaid period
Babylonian army,servedUnder,Babylonian kings
Reign of Hammurabi,capital,Babylon
Etana,knownAs,Mythical King
Babylonian-Assyrian wars,timePeriod,circa 14th to 7th century BCE
High Priestess of the Moon God Nanna,location,Ancient city of Babylon
Baghdad,relationToBabylon,Located near ancient Babylon
Sin (moon god),mainTemplesLocatedIn,Ur
Gates of Babylon,locatedIn,Babylon
Babylonian Kassite period,notableRuler,Agum II
Nebonidus,notableFor,Neglect of Marduk cult
Sinsharishkun,instanceOf,King of Assyria
Babylon,knownFor,ancient Mesopotamian culture
Marduk-zakir-shumi I,capital,Babylon
Gate of All Nations,features,large stone gate with reliefs
Ea (Enki),mythology,Mesopotamian
Hanging Gardens of Babylon,oneOf,Seven Wonders of the Ancient World
Hurrian kingdom of Mitanni,locatedIn,Northern Mesopotamia
Tell Harmal,discoveredBy,archaeologists in Iraq
Battle of Opis,occurredIn,ancient Mesopotamia
Victory of Eannatum over Umma,involves,Umma
Tammuz,relatedTo,Inanna/Ishtar
Akkadian period,culturalInfluence,Mesopotamia
Gandaš,reignPeriod,circa 1770 BC
Shibtu,instanceOf,Queen of Mari
God Marduk,role,God of creation
Second Dynasty of Isin,instanceOf,Ancient Babylonian dynasty
Babylonian clay tablets,use,writing
Ur-Nammu,predecessor,Ur-Nigin
Black Obelisk,currentLocation,British Museum
Black Obelisk,function,commemorative monument
King Artatama I,role,King of Mitanni
Zedekiah,birthName,Mattaniah
Kassite period of Babylon,ruling dynasty,Kassites
Merodach-Baladan II,reignPeriod,722–710 BC
Behistun Inscription,historicalContext,Achaemenid Empire
High Priestess of Ur,associatedWith,Ancient city of Ur
Sin (moon god),parentDeities,Enlil
Temple of Shamash,instanceOf,ancient temple
Ancient city of Ur,excavatedBy,Leonard Woolley
Nippur,associatedDeity,Enlil
Babylonian culture,knownFor,advancements in mathematics
Gutian people,knownFor,invasion of Mesopotamia
Epic of Gilgamesh tablets,date,circa 2100 BCE to 1200 BCE
Epic of Gilgamesh,associatedWith,ancient city of Babylon
Babylonian dialect,period,Neo-Babylonian period
Babylonian Kassite period,culturalInfluence,Mesopotamian traditions
Nabû-apla-iddina,title,King of Babylon
Neriglissar,reignPeriod,560–556 BC
Terqa,partOf,ancient kingdom of Mari
Babylon,populationAtPeak,several hundred thousand
Abu al-Abbas al-Saffah,title,First Abbasid Caliph
Nazi-Maruttaš,notableFor,Military campaigns against Assyria
Tell el-Muqayyar,alsoKnownAs,ancient city of Ur
Gutian people,associatedWith,ancient city of Babylon
Ashur-uballit I,militaryCampaigns,"Defeated Mitanni, expanded Assyrian territory"
Xerxes Gate,locatedIn,Babylon
Babylonian culture,usedWritingSystem,cuneiform
Modern-day Mosul,near,Ancient city of Babylon
Semiramis,legendarySpouse,Ninus
Mitanni kingdom,famousFor,horse breeding and chariotry
Enki,role,creator god
Abi-Eshuh,reignPeriod,1711–1684 BC
Regent of Babylon,responsibility,Administration of Babylon
Lex Talionis,purpose,To ensure proportional justice
Babylonian monarchy,language,Akkadian
Uruk period,timeframe,c. 4000 to 3100 BCE
Jemdet Nasr period,instanceOf,archaeological period
Nabû-nāṣir,reignEnd,734 BC
Ancient Babylonian High Priestess,responsibility,Maintaining temple rituals
Gates of Babylon,historicalSignificance,Symbol of Babylon's power and grandeur
Nabû-nāṣir,successor,Šamaš-mudammiq
Epic of Gilgamesh (Babylonian version),language,Akkadian
Ancient Babylonian era,notableArchitecture,Ishtar Gate
Battle of Opis (539 BC),commander,Cyrus the Great
King Samsu-iluna,notableEvent,Faced multiple revolts and invasions during reign
Adad,role,god of storms and rain
Ur-Nigin,role,Founder of the Fourth Dynasty of Uruk
Babylonian officials,included,Priests
Ancient Babylonian period,timeFrameEnd,c. 539 BC
Nabû-šuma-iškun,instanceOf,King of Babylon
Ziusudra,associatedWith,Sumerian Flood Myth
Uruk,hadTemple,Eanna temple complex
King Ush,reignPeriod,circa 2100 BCE
Moon God Nanna,instanceOf,Deity
King Ipiq-Adad II,predecessor,King Samsu-iluna
Sin,associatedWith,fertility
Sirrush,depictedOn,Ishtar Gate
Gutian language,relationToBabylon,preceded Babylonian dominance in Mesopotamia
Tishpak,mentionedIn,Mesopotamian mythology
High Priestess of Ur,instanceOf,Title
Lex Talionis,influenced,Later legal systems
Ancient Babylonian relief,originatedIn,Babylon
Sud,alsoKnownAs,Shuruppak
Enlil and Ninlil myth,instanceOf,Mesopotamian myth
Kadašman-Ḫarbe I,religion,Ancient Mesopotamian religion
Babylonian-Persian wars,key figure,Cyrus the Great
Jemdet Nasr,period,Jemdet Nasr period
Naram-Sin's victory over the Lullubi,commemoratedBy,Victory Stele of Naram-Sin
Battle of Opis (539 BC),involvedEntity,Achaemenid Empire
Nabû-mukin-zēri,successor,Nabu-shuma-ukin I
Modern Baghdad,knownFor,historical and cultural significance
Babylonian clay tablets,discovery,archaeological excavations
Declaration of Cyrus the Great's conquest of Babylon,material,clay cylinder
Fall of Babylon to Persian Empire,location,Babylon
Religious center of Nippur,instanceOf,Ancient city
Nabonidus' absence from Babylon,timePeriod,6th century BCE
Modern Tell Nuffar,associatedWith,ancient city of Babylon
Akkadian Empire,culturalInfluence,spread of Akkadian language and culture in Mesopotamia
Nebuchadnezzar II,notableEvent,Babylonian Captivity of the Jews
Gutium,instanceOf,ancient people
Ishme-Dagan II,reignPeriod,c. 1579–1564 BC
Ancient city of Ur,instanceOf,ancient Mesopotamian city
Dragon (Mušḫuššu),hasBodyPart,Serpent body
Shalmaneser III,conquered,Aram-Damascus
Isin dynasty,ruled,ancient Mesopotamia
Mitanni kingdom,rival,Hittite Empire
Royal Cemetery at Ur,notableArtifact,Standard of Ur
Dynasty of Isin,knownFor,revival of Sumerian culture
Babylonian city-state period,language,Akkadian
Mari letters,originatedFrom,ancient city of Mari
Gutian language,status,poorly attested
King of Mari,timePeriod,Ancient Mesopotamia
Babylonian Empire,notableKing,Hammurabi
Zedekiah,predecessor,Jehoiachin
Assyrian inscriptions,instanceOf,Ancient inscriptions
King of Uruk,associatedWith,Ancient Mesopotamian city of Uruk
Arsacid dynasty,timePeriod,247 BC – 224 AD
Marduk-aḫḫē-erība,dynasty,Dynasty of E
Kassite period of Babylon,notable king,Agum II
Center of Enlil's cult,locatedIn,Nippur
Moon God Nanna,alsoKnownAs,Sin
Babylonian Empire,knownFor,Epic of Gilgamesh preservation
Coniah,lineageIncludedIn,Genealogy of Jesus in Gospel of Matthew
King Shamshi-Adad V,relationToBabylon,Engaged in military campaigns affecting Babylon
Battle of Opis (539 BC),location,Opis
Samsu-ditana,successor,Hittite conquest of Babylon
Enki,alternateName,Ea
Babylon,knownFor,advanced legal system
Utu-hengal,instanceOf,King
Apil-Sin,capital,Babylon
Kassite dynasty,declinedDueTo,Elamite invasions
Royal Cemetery at Ur,instanceOf,Archaeological site
Kassite Dynasty of Babylon,knownFor,use of kudurru (boundary stones)
Stele of Hammurabi's Code,height,approximately 2.25 meters
Library of Ashurbanipal,containsTextsOn,history
Ancient Babylonian High Priestess,instanceOf,High Priestess
Gutium,location,region in the Zagros Mountains
Babil,historicalPeriod,Old Babylonian period
Ancient Babylonian Law,originatedIn,Babylon
Neo-Babylonian architecture,associatedWith,Neo-Babylonian Empire
End of the First Babylonian Dynasty,resultedIn,collapse of the dynasty
Babylonian army,usedWeapon,spears
Conquest of Babylon by Cyrus the Great,occurredInYear,539 BCE
Modern Tell Nuffar,locatedIn,Babylon region
King Shalmaneser III,successor,Shamshi-Adad V
Amarna letters,historicalSignificance,insight into political relations in ancient Near East
King Hammurabi of Babylon,reignPeriod,c. 1792–1750 BC
Ancient Assyrian Empire,relationToBabylon,conquered Babylon multiple times
Babylon,notableEvent,Babylonian Captivity of Jews
Babylonian priests,education,Trained in cuneiform writing and religious texts
Hammurabi,expanded,Babylonian Empire
Kassite period of Babylon,notable king,Burna-Buriash II
Hammurabi,reignedDuring,18th century BCE
Excavation of Babylon,resumedIn,1920s
Reign of Hammurabi,endDate,1750 BC
Isin dynasty,capital,Isin
Neo-Babylonian architecture,notableFeature,use of glazed brick
Cedar Forest,mentionedIn,Epic of Gilgamesh
Yamhad,timePeriod,Middle Bronze Age
Ancient Babylon,governmentType,monarchy
Fall of Babylon to Persian Empire,significance,end of Neo-Babylonian Empire
Sinsharishkun,capital,Nineveh
Etemenanki's sister ziggurat,relatedTo,Etemenanki
Amorite tribes,instanceOf,tribes
Itti-Marduk-balatu,instanceOf,King of Babylon
Sasanian Empire,locatedIn,Persia
Rim-Sin I,capital,Larsa
Sumerian Period,notableCity,Uruk
God Marduk,title,King of the gods
Royal Tombs of Ur,discoveredBy,Leonard Woolley
Nabû-mukin-apli,instanceOf,King of Babylon
Sumerian Period,knownFor,development of cuneiform writing
Gutian language,timePeriod,Late 3rd millennium BCE
King Artatama I,relationToBabylon,Contemporary of Babylonian kings
Gudea,knownFor,statues
Temple of Nabû in Babylon,dedicatedTo,Nabû
Royal Cemetery at Ur,locatedIn,Ur
Queen of Mari,timePeriod,Ancient Mesopotamia
Ea,domain,creation
Babil,declinedAfter,Persian conquest
Ancient Babylonian period,knownFor,Hanging Gardens of Babylon
Ashur-Dan II,role,Assyrian king
Babylonian exile,resultedIn,destruction of Solomon's Temple
Mari,foundedIn,2900 BCE
Babylonian Empire,known for,advancements in astronomy
Arahsamnu,mentionedIn,Babylonian mythology
Assyria,relationToBabylon,controlled Babylon at times
Battle of Opis (539 BC),instanceOf,Battle
Darius I,reignedOver,Babylon
Law code of Lipit-Ishtar,contains,laws on property
Šamaš-mudammiq,instanceOf,King of Babylon
Babylon,importantDeity,Marduk
Library of Ashurbanipal,containsTextsOn,Babylonian literature
Fall of Babylon to Persian Empire,ledBy,Cyrus the Great
Enheduanna,timePeriod,23rd century BCE
Epic of Gilgamesh (Babylonian version),originatedIn,Babylonian civilization
Persian Empire,instanceOf,Empire
